vipno,pluno,upp_up_counts,upp_up_sum,upp_up_day_ucounts,upp_first_up_counts,upp_second_up_counts,upp_fourth_up_counts,upp_fifth_up_counts,upp_trend_up_counts,upp_first_up_sum,upp_second_up_sum,upp_fourth_up_sum,upp_fifth_up_sum,upp_trend_up_sum,upp_first_up_day_ucounts,upp_second_up_day_ucounts,upp_fourth_up_day_ucounts,upp_fifth_up_day_ucounts,upp_trend_up_day_ucounts,upp_monthly_up_counts_mean,upp_monthly_up_counts_std,upp_monthly_up_counts_max,upp_monthly_up_counts_median,upp_monthly_up_sum_mean,upp_monthly_up_sum_std,upp_monthly_up_sum_max,upp_monthly_up_sum_median,upp_monthly_up_day_ucounts_mean,upp_monthly_up_day_ucounts_std,upp_monthly_up_day_ucounts_max,upp_monthly_up_day_ucounts_median,upp_up_l_w_counts,upp_up_l_w_sum,upp_up_l_w_day_ucounts,upp_up_l_m_counts,upp_up_l_m_sum,upp_up_l_m_day_ucounts,upp_up_counts_bias,upp_up_counts_bias_divide_std,upp_up_counts_bias_divide_mean,upp_up_sum_bias,upp_up_sum_bias_divide_std,upp_up_sum_bias_divide_mean,upp_up_day_ucounts_bias,upp_up_day_ucounts_bias_divide_std,upp_up_day_ucounts_bias_divide_mean
13854627199,14300086,1,15.8,1,1.0,0.0,0.0,0.0,-0.3,15.8,0.0,0.0,0.0,-4.74,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,3.95,7.9,15.8,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-5.266666666666667,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13854627199,14701015,1,58.8,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,58.8,0.0,5.88,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,14.7,29.399999999999995,58.8,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-19.599999999999998,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13854627199,14750042,1,7.5,1,1.0,0.0,0.0,0.0,-0.3,7.5,0.0,0.0,0.0,-2.25,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,1.875,3.75,7.5,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-2.5,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13854627199,14750043,1,10.9,1,1.0,0.0,0.0,0.0,-0.3,10.9,0.0,0.0,0.0,-3.2700000000000005,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,2.725,5.45,10.9,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-3.6333333333333333,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13854627199,14750062,2,25.2,1,0.0,0.0,2.0,0.0,0.2,0.0,0.0,25.2,0.0,2.5199999999999996,0.0,0.0,1.0,0.0,0.1,0.5,1.0,2.0,0.0,6.3,12.599999999999998,25.2,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.5773502691896256,-1.0,-8.4,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13854627199,14802054,1,18.5,1,1.0,0.0,0.0,0.0,-0.3,18.5,0.0,0.0,0.0,-5.55,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,4.625,9.25,18.5,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-6.166666666666667,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13854627199,14860025,1,3.0,1,1.0,0.0,0.0,0.0,-0.3,3.0,0.0,0.0,0.0,-0.9,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,0.75,1.5,3.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-1.0,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13854627199,22001006,1,3.05,1,1.0,0.0,0.0,0.0,-0.3,3.05,0.0,0.0,0.0,-0.9149999999999998,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,0.7625,1.5249999999999997,3.05,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-1.0166666666666666,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13854627199,22002240,1,6.2,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,6.2,0.0,0.6200000000000001,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,1.55,3.1,6.2,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-2.066666666666667,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13854627199,22007027,1,12.36,1,1.0,0.0,0.0,0.0,-0.3,12.36,0.0,0.0,0.0,-3.7079999999999997,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,3.09,6.18,12.36,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-4.12,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
